Code IRIS;Nom IRIS;Code Commune;Nom Commune;Taux de motorisation IRIS;Taux de motorisation Commune;Taux de motorisation Département
523640000;Orcevaux;52364;Orcevaux;0,95122;0,95122;0,840154
523400000;Montsaugeon;52340;Montsaugeon;0,970588;0,970588;0,840154
523370000;Montreuil-sur-Thonnance;52337;Montreuil-sur-Thonnance;0,733333;0,733333;0,840154
523360000;Montreuil-sur-Blaise;52336;Montreuil-sur-Blaise;0,935484;0,935484;0,840154
523190000;Mennouveaux;52319;Mennouveaux;0,967742;0,967742;0,840154
523070000;Marac;52307;Marac;0,87234;0,87234;0,840154
523080000;Maranville;52308;Maranville;0,861111;0,861111;0,840154
523100000;Marbéville;52310;Marbéville;0,913043;0,913043;0,840154
523110000;Marcilly-en-Bassigny;52311;Marcilly-en-Bassigny;0,875;0,875;0,840154
523120000;Mardor;52312;Mardor;1;1;0,840154
523130000;Mareilles;52313;Mareilles;0,955224;0,955224;0,840154
523150000;Marnay-sur-Marne;52315;Marnay-sur-Marne;0,968;0,968;0,840154
523160000;Mathons;52316;Mathons;0,962963;0,962963;0,840154
523180000;Melay;52318;Melay;0,727273;0,727273;0,840154
523200000;Merrey;52320;Merrey;0,918367;0,918367;0,840154
523350000;Montot-sur-Rognon;52335;Montot-sur-Rognon;0,9;0,9;0,840154
523210000;Mertrud;52321;Mertrud;0,931818;0,931818;0,840154
523220000;Meures;52322;Meures;0,946429;0,946429;0,840154
523250000;Millières;52325;Millières;0,980392;0,980392;0,840154
523260000;Mirbel;52326;Mirbel;0,782609;0,782609;0,840154
523270000;Moëslains;52327;Moëslains;0,954082;0,954082;0,840154
523280000;Montcharvot;52328;Montcharvot;1;1;0,840154
523300000;Montheries;52330;Montheries;0,862069;0,862069;0,840154
523310000;Montier-en-Der;52331;Montier-en-Der;0,821977;0,821977;0,840154
523320000;Val-de-Meuse;52332;Val-de-Meuse;0,905382;0,905382;0,840154
522500000;Joinville;52250;Joinville;0,722124;0,722124;0,840154
522490000;Isômes;52249;Isômes;0,967213;0,967213;0,840154
522480000;Is-en-Bassigny;52248;Is-en-Bassigny;0,88843;0,88843;0,840154
522470000;Illoud;52247;Illoud;0,9;0,9;0,840154
521630000;Dampierre;52163;Dampierre;0,929487;0,929487;0,840154
521640000;Damrémont;52164;Damrémont;0,891089;0,891089;0,840154
521650000;Dancevoir;52165;Dancevoir;0,892157;0,892157;0,840154
521670000;Darmannes;52167;Darmannes;0,958763;0,958763;0,840154
521680000;Dinteville;52168;Dinteville;0,84;0,84;0,840154
521690000;Domblain;52169;Domblain;0,891892;0,891892;0,840154
521700000;Dommarien;52170;Dommarien;0,893333;0,893333;0,840154
521710000;Dommartin-le-Franc;52171;Dommartin-le-Franc;0,92233;0,92233;0,840154
521720000;Dommartin-le-Saint-Père;52172;Dommartin-le-Saint-Père;0,835821;0,835821;0,840154
521730000;Domremy-Landéville;52173;Domremy-Landéville;0,891892;0,891892;0,840154
521740000;Doncourt-sur-Meuse;52174;Doncourt-sur-Meuse;0,95;0,95;0,840154
521750000;Donjeux;52175;Donjeux;0,856209;0,856209;0,840154
521770000;Doulaincourt-Saucourt;52177;Doulaincourt-Saucourt;0,854111;0,854111;0,840154
521780000;Doulevant-le-Château;52178;Doulevant-le-Château;0,813253;0,813253;0,840154
521790000;Doulevant-le-Petit;52179;Doulevant-le-Petit;0,923077;0,923077;0,840154
521800000;Droyes;52180;Droyes;0,929412;0,929412;0,840154
521810000;Échenay;52181;Échenay;0,826087;0,826087;0,840154
521820000;Éclaron-Braucourt-Sainte-Livière;52182;Éclaron-Braucourt-Sainte-Livière;0,912744;0,912744;0,840154
521830000;Ecot-la-Combe;52183;Ecot-la-Combe;1;1;0,840154
521840000;Effincourt;52184;Effincourt;0,928571;0,928571;0,840154
521850000;Enfonvelle;52185;Enfonvelle;0,736842;0,736842;0,840154
521620000;Dammartin-sur-Meuse;52162;Dammartin-sur-Meuse;0,911111;0,911111;0,840154
521610000;Daillecourt;52161;Daillecourt;0,868421;0,868421;0,840154
521600000;Daillancourt;52160;Daillancourt;0,882353;0,882353;0,840154
521410000;Condes;52141;Condes;0,943662;0,943662;0,840154
521310000;Cirfontaines-en-Ornois;52131;Cirfontaines-en-Ornois;0,870968;0,870968;0,840154
521320000;Clefmont;52132;Clefmont;0,9;0,9;0,840154
521330000;Clinchamp;52133;Clinchamp;0,957447;0,957447;0,840154
521340000;Cohons;52134;Cohons;0,925926;0,925926;0,840154
521350000;Coiffy-le-Bas;52135;Coiffy-le-Bas;0,8;0,8;0,840154
521360000;Coiffy-le-Haut;52136;Coiffy-le-Haut;0,947368;0,947368;0,840154
521370000;Colmier-le-Bas;52137;Colmier-le-Bas;0,916667;0,916667;0,840154
521380000;Colmier-le-Haut;52138;Colmier-le-Haut;0,857143;0,857143;0,840154
521400000;Colombey-les-Deux-Églises;52140;Colombey-les-Deux-Églises;0,91844;0,91844;0,840154
521420000;Consigny;52142;Consigny;0,909091;0,909091;0,840154
521590000;Cuves;52159;Cuves;0,8;0,8;0,840154
521450000;Coublanc;52145;Coublanc;0,945455;0,945455;0,840154
521460000;Coupray;52146;Coupray;0,943662;0,943662;0,840154
521470000;Courcelles-en-Montagne;52147;Courcelles-en-Montagne;0,916667;0,916667;0,840154
521490000;Courcelles-sur-Blaise;52149;Courcelles-sur-Blaise;0,770833;0,770833;0,840154
