code_commune,nb_copros,nb_lots_hab_total,nb_lots_stat_total,nb_copros_avec_stat,nb_copros_sans_stat,nb_logements,nb_res_principales,nb_res_secondaires,nb_logements_vacants,nb_maisons,nb_appartements,nb_res_princ_appart,nb_menages_avec_parking,nb_menages_avec_voiture,nb_menages_1voiture,nb_menages_2voitures,nb_menages,nb_proprietaires,nb_locataires,nom_commune,taux_moto,nb_parkings_publics,nb_places_publiques
16113,1,17,0,0,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
17299,9,64,0,0,9,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
17300,10,399,300,5,5,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,11.0,3133.0
17306,1,5,6,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
17415,3,48,21,1,2,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
18033,5,249,166,4,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
18279,7,154,114,6,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
19031,5,35,21,5,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
21166,3,203,93,2,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
21231,2,353,347,1,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7615615,0.0,0.0
