code_commune,ville,departement,region,nb_logements,nb_appartements,lots_stat_copro,places_publiques,copros_sans_stat,menages_motorises,menages_avec_parking,ratio_stat_par_logement,pct_motorises_sans_parking,profil_stationnement,index_partageabilite
59009,59009,59009,59009,29688,16791,58,2088,1,20765,15197,0.002,20.2,🔴 Forte tension — priorité demande,10.9
54304,Laxou,54304,54304,7915,5838,56,0,2,5559,4171,0.007,19.6,🔴 Forte tension — priorité demande,9.8
62667,Le Portel,62667,62667,4732,2298,40,0,0,2851,1689,0.008,28.4,🔴 Forte tension — priorité demande,9.8
62764,Saint-Nicolas,62764,62764,2255,984,64,0,0,1706,1392,0.028,14.5,🔴 Forte tension — priorité demande,8.9
68066,Colmar,68066,68066,36386,29990,46,0,0,25853,18998,0.001,21.0,🔴 Forte tension — priorité demande,8.7
57751,57751,57751,57751,6482,4300,45,250,0,4521,3352,0.007,19.8,🔴 Forte tension — priorité demande,8.1
62041,Arras,62041,62041,24160,15950,41,0,2,15203,10465,0.002,22.2,🔴 Forte tension — priorité demande,8.0
72003,72003,72003,72003,5130,2941,36,0,0,3454,2364,0.007,23.1,🔴 Forte tension — priorité demande,7.7
67046,Bischwiller,67046,67046,5398,2661,56,0,0,4089,3366,0.01,14.9,🔴 Forte tension — priorité demande,7.5
57631,57631,57631,57631,11988,7610,49,0,4,8146,6384,0.004,17.3,🔴 Forte tension — priorité demande,7.2
57630,57630,57630,57630,6822,4543,54,0,2,4611,3748,0.008,14.7,🔴 Forte tension — priorité demande,6.8
69152,Pierre-Bénite,69152,69152,5008,3475,52,0,0,3617,2986,0.01,14.1,🔴 Forte tension — priorité demande,6.6
69387,Lyon 7e Arrondissement,69387,69387,55008,53306,100,0,0,25501,21878,0.002,7.7,🔴 Forte tension — priorité demande,6.6
57227,Forbach,57227,57227,11001,7422,51,0,3,7338,5986,0.005,14.8,🔴 Forte tension — priorité demande,6.3
56007,Auray,56007,56007,8975,5382,50,0,0,6439,5363,0.006,13.7,🔴 Forte tension — priorité demande,6.0
54323,Longwy,54323,54323,8660,5668,21,0,0,5930,3733,0.002,27.9,🔴 Forte tension — priorité demande,5.3
67267,Lingolsheim,67267,67267,9709,7174,105,0,0,7790,7300,0.011,5.4,🔴 Forte tension — priorité demande,5.3
64445,Pau,64445,64445,53675,44362,41,0,1,32885,26225,0.001,15.2,🔴 Forte tension — priorité demande,5.1
69282,Meyzieu,69282,69282,15150,7511,47,11,4,12941,11292,0.003,11.5,🔴 Forte tension — priorité demande,5.1
